Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Loudoun County Public Schools,Elaine E. Thompson Elementary,Low Poverty,All Schools,13.7,10,8.2,6,6.8,5
2023 - 2024,SCH,Loudoun County Public Schools,Elaine E. Thompson Elementary,Low Poverty,Non-Title I,13.7,10,8.2,6,6.8,5
2023 - 2024,SCH,Loudoun County Public Schools,Emerick Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Emerick Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Evergreen Mill Elementary,Low Poverty,All Schools,4.8,3,1.6,1,1.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Evergreen Mill Elementary,Low Poverty,Non-Title I,4.8,3,1.6,1,1.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Farmwell Station Middle,Low Poverty,All Schools,2.2,2,2.2,2,1.1,1
2023 - 2024,SCH,Loudoun County Public Schools,Farmwell Station Middle,Low Poverty,Non-Title I,2.2,2,2.2,2,1.1,1
2023 - 2024,SCH,Loudoun County Public Schools,Forest Grove Elementary,Medium Poverty,All Schools,6.3,4,4.7,3,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Forest Grove Elementary,Medium Poverty,Title I,6.3,4,4.7,3,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Frances Hazel Reid Elementary,Medium Poverty,All Schools,3.1,2,4.6,3,1.5,1
2023 - 2024,SCH,Loudoun County Public Schools,Frances Hazel Reid Elementary,Medium Poverty,Non-Title I,3.1,2,4.6,3,1.5,1
2023 - 2024,SCH,Loudoun County Public Schools,Frederick Douglass Elementary,Medium Poverty,All Schools,4.4,3,1.5,1,1.5,1
2023 - 2024,SCH,Loudoun County Public Schools,Frederick Douglass Elementary,Medium Poverty,Title I,4.4,3,1.5,1,1.5,1
2023 - 2024,SCH,Loudoun County Public Schools,Freedom High ,Low Poverty,All Schools,7.3,12,10.9,18,4.8,8
2023 - 2024,SCH,Loudoun County Public Schools,Freedom High ,Low Poverty,Non-Title I,7.3,12,10.9,18,4.8,8
2023 - 2024,SCH,Loudoun County Public Schools,Goshen Post Elementary,Low Poverty,All Schools,7.3,6,1.2,1,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Goshen Post Elementary,Low Poverty,Non-Title I,7.3,6,1.2,1,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Guilford Elementary,Medium Poverty,All Schools,9,6,4.5,3,4.5,3
2023 - 2024,SCH,Loudoun County Public Schools,Guilford Elementary,Medium Poverty,Title I,9,6,4.5,3,4.5,3
2023 - 2024,SCH,Loudoun County Public Schools,Hamilton Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Hamilton Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Harmony Middle,Low Poverty,All Schools,1,1,2.9,3,1,1
2023 - 2024,SCH,Loudoun County Public Schools,Harmony Middle,Low Poverty,Non-Title I,1,1,2.9,3,1,1
2023 - 2024,SCH,Loudoun County Public Schools,Harper Park Middle,Low Poverty,All Schools,2.2,2,3.2,3,1.1,1
2023 - 2024,SCH,Loudoun County Public Schools,Harper Park Middle,Low Poverty,Non-Title I,2.2,2,3.2,3,1.1,1
2023 - 2024,SCH,Loudoun County Public Schools,Heritage High,Low Poverty,All Schools,6.9,11,11.3,18,3.1,5
2023 - 2024,SCH,Loudoun County Public Schools,Heritage High,Low Poverty,Non-Title I,6.9,11,11.3,18,3.1,5
2023 - 2024,SCH,Loudoun County Public Schools,Hillsboro Charter Academy,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Hillsboro Charter Academy,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Hillside Elementary,Low Poverty,All Schools,5.3,3,1.8,1,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Hillside Elementary,Low Poverty,Non-Title I,5.3,3,1.8,1,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Horizon Elementary,Low Poverty,All Schools,9.8,5,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Horizon Elementary,Low Poverty,Non-Title I,9.8,5,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Hovatter Elementary,Low Poverty,All Schools,1.2,1,1.2,1,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Hovatter Elementary,Low Poverty,Non-Title I,1.2,1,1.2,1,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Hutchison Farm Elementary,Low Poverty,All Schools,3.2,2,3.2,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Hutchison Farm Elementary,Low Poverty,Non-Title I,3.2,2,3.2,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Independence High,Low Poverty,All Schools,3.1,5,9.8,16,0.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Independence High,Low Poverty,Non-Title I,3.1,5,9.8,16,0.6,1
2023 - 2024,SCH,Loudoun County Public Schools,J. Lupton Simpson Middle,Low Poverty,All Schools,0,0,6.7,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,J. Lupton Simpson Middle,Low Poverty,Non-Title I,0,0,6.7,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,J. Michael Lunsford Middle,Low Poverty,All Schools,4.7,5,2.8,3,0,0
2023 - 2024,SCH,Loudoun County Public Schools,J. Michael Lunsford Middle,Low Poverty,Non-Title I,4.7,5,2.8,3,0,0
2023 - 2024,SCH,Loudoun County Public Schools,John Champe High,Low Poverty,All Schools,2.9,4,5.9,8,0,0
2023 - 2024,SCH,Loudoun County Public Schools,John Champe High,Low Poverty,Non-Title I,2.9,4,5.9,8,0,0
2023 - 2024,SCH,Loudoun County Public Schools,John W. Tolbert Jr. Elementary ,Low Poverty,All Schools,5.1,3,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,John W. Tolbert Jr. Elementary ,Low Poverty,Non-Title I,5.1,3,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Kenneth W.Culbert Elementary,Low Poverty,All Schools,4.4,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Kenneth W.Culbert Elementary,Low Poverty,Non-Title I,4.4,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Leesburg Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Leesburg Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Legacy Elementary ,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Legacy Elementary ,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Liberty Elementary,Low Poverty,All Schools,1.4,1,2.8,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Liberty Elementary,Low Poverty,Non-Title I,1.4,1,2.8,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lightridge High,Low Poverty,All Schools,1.4,2,8.8,13,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lightridge High,Low Poverty,Non-Title I,1.4,2,8.8,13,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lincoln Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lincoln Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Little River Elementary,Low Poverty,All Schools,8.3,6,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Little River Elementary,Low Poverty,Non-Title I,8.3,6,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun County High,Low Poverty,All Schools,1.5,2,5.9,8,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun County High,Low Poverty,Non-Title I,1.5,2,5.9,8,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun Valley High,Low Poverty,All Schools,1.7,2,5.2,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun Valley High,Low Poverty,Non-Title I,1.7,2,5.2,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lovettsville Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lovettsville Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lowes Island Elementary,Low Poverty,All Schools,0,0,1.9,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lowes Island Elementary,Low Poverty,Non-Title I,0,0,1.9,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Lucketts Elementary,Low Poverty,All Schools,7.1,2,3.6,1,3.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Lucketts Elementary,Low Poverty,Non-Title I,7.1,2,3.6,1,3.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Madison's Trust Elementary,Low Poverty,All Schools,2.6,2,2.6,2,1.3,1
2023 - 2024,SCH,Loudoun County Public Schools,Madison's Trust Elementary,Low Poverty,Non-Title I,2.6,2,2.6,2,1.3,1
2023 - 2024,SCH,Loudoun County Public Schools,Meadowland Elementary,Medium Poverty,All Schools,3.8,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Meadowland Elementary,Medium Poverty,Title I,3.8,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Mercer Middle ,Low Poverty,All Schools,4.1,5,5.7,7,2.4,3
2023 - 2024,SCH,Loudoun County Public Schools,Mercer Middle ,Low Poverty,Non-Title I,4.1,5,5.7,7,2.4,3
2023 - 2024,SCH,Loudoun County Public Schools,Mill Run Elementary,Low Poverty,All Schools,3.3,2,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Mill Run Elementary,Low Poverty,Non-Title I,3.3,2,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Moorefield Station Elementary,Low Poverty,All Schools,7.4,6,3.7,3,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Moorefield Station Elementary,Low Poverty,Non-Title I,7.4,6,3.7,3,1.2,1
2023 - 2024,SCH,Loudoun County Public Schools,Mountain View Elementary,Low Poverty,All Schools,0,0,1.5,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Mountain View Elementary,Low Poverty,Non-Title I,0,0,1.5,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Newton-Lee Elementary ,Low Poverty,All Schools,1.9,1,1.9,1,1.9,1
2023 - 2024,SCH,Loudoun County Public Schools,Newton-Lee Elementary ,Low Poverty,Non-Title I,1.9,1,1.9,1,1.9,1
2023 - 2024,SCH,Loudoun County Public Schools,Park View High,Medium Poverty,All Schools,5.1,8,17.3,27,1.9,3
2023 - 2024,SCH,Loudoun County Public Schools,Park View High,Medium Poverty,Title I,5.1,8,17.3,27,1.9,3
2023 - 2024,SCH,Loudoun County Public Schools,Pinebrook Elementary,Low Poverty,All Schools,2.5,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Pinebrook Elementary,Low Poverty,Non-Title I,2.5,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Potomac Falls High,Low Poverty,All Schools,3.4,5,6.8,10,1.4,2
2023 - 2024,SCH,Loudoun County Public Schools,Potomac Falls High,Low Poverty,Non-Title I,3.4,5,6.8,10,1.4,2
2023 - 2024,SCH,Loudoun County Public Schools,Potowmack Elementary,Medium Poverty,All Schools,10.5,6,5.3,3,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Potowmack Elementary,Medium Poverty,Title I,10.5,6,5.3,3,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,River Bend Middle,Medium Poverty,All Schools,3.3,4,5.8,7,0.8,1
2023 - 2024,SCH,Loudoun County Public Schools,River Bend Middle,Medium Poverty,Non-Title I,3.3,4,5.8,7,0.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Riverside High,Low Poverty,All Schools,2.1,3,4.9,7,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Riverside High,Low Poverty,Non-Title I,2.1,3,4.9,7,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Rock Ridge High,Low Poverty,All Schools,4,5,8,10,0.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Rock Ridge High,Low Poverty,Non-Title I,4,5,8,10,0.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Medium Poverty,All Schools,7.8,5,3.1,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Medium Poverty,Title I,7.8,5,3.1,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Rosa Lee Carter Elementary,Low Poverty,All Schools,1.5,1,1.5,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Rosa Lee Carter Elementary,Low Poverty,Non-Title I,1.5,1,1.5,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Round Hill Elementary,Low Poverty,All Schools,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Round Hill Elementary,Low Poverty,Non-Title I,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sanders Corner Elementary,Low Poverty,All Schools,7,3,4.7,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sanders Corner Elementary,Low Poverty,Non-Title I,7,3,4.7,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Seldens Landing Elementary,Low Poverty,All Schools,4.1,2,2,1,2,1
2023 - 2024,SCH,Loudoun County Public Schools,Seldens Landing Elementary,Low Poverty,Non-Title I,4.1,2,2,1,2,1
2023 - 2024,SCH,Loudoun County Public Schools,Seneca Ridge Middle,Medium Poverty,All Schools,3.1,3,8.2,8,2.1,2
2023 - 2024,SCH,Loudoun County Public Schools,Seneca Ridge Middle,Medium Poverty,Title I,3.1,3,8.2,8,2.1,2
2023 - 2024,SCH,Loudoun County Public Schools,Smart's Mill Middle ,Low Poverty,All Schools,6.5,6,4.3,4,2.2,2
2023 - 2024,SCH,Loudoun County Public Schools,Smart's Mill Middle ,Low Poverty,Non-Title I,6.5,6,4.3,4,2.2,2
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Elementary,Medium Poverty,All Schools,7.3,4,10.9,6,5.5,3
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Elementary,Medium Poverty,Title I,7.3,4,10.9,6,5.5,3
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Middle,Medium Poverty,All Schools,13.8,16,13.8,16,5.2,6
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Middle,Medium Poverty,Title I,13.8,16,13.8,16,5.2,6
2023 - 2024,SCH,Loudoun County Public Schools,Steuart W. Weller Elementary,Low Poverty,All Schools,3.2,2,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Steuart W. Weller Elementary,Low Poverty,Non-Title I,3.2,2,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Stone Bridge High,Low Poverty,All Schools,4.1,6,5.5,8,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Stone Bridge High,Low Poverty,Non-Title I,4.1,6,5.5,8,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Stone Hill Middle,Low Poverty,All Schools,4.2,4,6.3,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Stone Hill Middle,Low Poverty,Non-Title I,4.2,4,6.3,6,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sugarland Elementary,Medium Poverty,All Schools,7.9,5,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sugarland Elementary,Medium Poverty,Title I,7.9,5,1.6,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sully Elementary,Medium Poverty,All Schools,6.7,4,3.3,2,3.3,2
2023 - 2024,SCH,Loudoun County Public Schools,Sully Elementary,Medium Poverty,Title I,6.7,4,3.3,2,3.3,2
2023 - 2024,SCH,Loudoun County Public Schools,Sycolin Creek Elementary,Low Poverty,All Schools,2.1,1,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Sycolin Creek Elementary,Low Poverty,Non-Title I,2.1,1,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Trailside Middle,Low Poverty,All Schools,1,1,3.9,4,1,1
2023 - 2024,SCH,Loudoun County Public Schools,Trailside Middle,Low Poverty,Non-Title I,1,1,3.9,4,1,1
2023 - 2024,SCH,Loudoun County Public Schools,Tuscarora High,Low Poverty,All Schools,8.5,12,11.3,16,2.1,3
2023 - 2024,SCH,Loudoun County Public Schools,Tuscarora High,Low Poverty,Non-Title I,8.5,12,11.3,16,2.1,3
2023 - 2024,SCH,Loudoun County Public Schools,Waterford Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Waterford Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Waxpool Elementary,Low Poverty,All Schools,4.5,3,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Waxpool Elementary,Low Poverty,Non-Title I,4.5,3,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Willard Middle,Low Poverty,All Schools,4,5,4,5,1.6,2
2023 - 2024,SCH,Loudoun County Public Schools,Willard Middle,Low Poverty,Non-Title I,4,5,4,5,1.6,2
2023 - 2024,SCH,Loudoun County Public Schools,Woodgrove High,Low Poverty,All Schools,0,0,6.3,9,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Woodgrove High,Low Poverty,Non-Title I,0,0,6.3,9,0,0
2023 - 2024,SCH,Louisa County Public Schools,Jouett Elementary,Medium Poverty,All Schools,12.9,8,1.6,1,0,0
2023 - 2024,SCH,Louisa County Public Schools,Jouett Elementary,Medium Poverty,Title I,12.9,8,1.6,1,0,0
2023 - 2024,SCH,Louisa County Public Schools,Louisa County High,Medium Poverty,All Schools,6.2,8,6.2,8,0.8,1
2023 - 2024,SCH,Louisa County Public Schools,Louisa County High,Medium Poverty,Non-Title I,6.2,8,6.2,8,0.8,1
2023 - 2024,SCH,Louisa County Public Schools,Louisa County Middle,Medium Poverty,All Schools,8.3,9,2.8,3,0,0
2023 - 2024,SCH,Louisa County Public Schools,Louisa County Middle,Medium Poverty,Non-Title I,8.3,9,2.8,3,0,0
2023 - 2024,SCH,Louisa County Public Schools,Moss-Nuckols Elementary,Medium Poverty,All Schools,17,9,0,0,0,0
2023 - 2024,SCH,Louisa County Public Schools,Moss-Nuckols Elementary,Medium Poverty,Title I,17,9,0,0,0,0
2023 - 2024,SCH,Louisa County Public Schools,Thomas Jefferson Elementary,Medium Poverty,All Schools,9.5,6,1.6,1,0,0
2023 - 2024,SCH,Louisa County Public Schools,Thomas Jefferson Elementary,Medium Poverty,Title I,9.5,6,1.6,1,0,0
2023 - 2024,SCH,Louisa County Public Schools,Trevilians Elementary,Medium Poverty,All Schools,8,4,4,2,0,0
2023 - 2024,SCH,Louisa County Public Schools,Trevilians Elementary,Medium Poverty,Title I,8,4,4,2,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Central High,High Poverty,All Schools,0,0,11.1,5,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Central High,High Poverty,Non-Title I,0,0,11.1,5,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Kenbridge Elementary,High Poverty,All Schools,6.1,2,0,0,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Kenbridge Elementary,High Poverty,Title I,6.1,2,0,0,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Lunenburg Middle,High Poverty,All Schools,7.9,3,21.1,8,5.3,2
2023 - 2024,SCH,Lunenburg County Public Schools,Lunenburg Middle,High Poverty,Non-Title I,7.9,3,21.1,8,5.3,2
2023 - 2024,SCH,Lunenburg County Public Schools,Victoria Elementary,High Poverty,All Schools,0,0,2.9,1,0,0
2023 - 2024,SCH,Lunenburg County Public Schools,Victoria Elementary,High Poverty,Title I,0,0,2.9,1,0,0
2023 - 2024,SCH,Lynchburg City Public Schools,Bedford Hills Elementary,High Poverty,All Schools,8.3,3,16.7,6,8.3,3
2023 - 2024,SCH,Lynchburg City Public Schools,Bedford Hills Elementary,High Poverty,Title I,8.3,3,16.7,6,8.3,3
2023 - 2024,SCH,Lynchburg City Public Schools,Dearington Elementary/Innovation ,High Poverty,All Schools,14.3,3,33.3,7,14.3,3
2023 - 2024,SCH,Lynchburg City Public Schools,Dearington Elementary/Innovation ,High Poverty,Title I,14.3,3,33.3,7,14.3,3
2023 - 2024,SCH,Lynchburg City Public Schools,E.C. Glass High ,High Poverty,All Schools,14.9,17,19.3,22,7,8
2023 - 2024,SCH,Lynchburg City Public Schools,E.C. Glass High ,High Poverty,Non-Title I,14.9,17,19.3,22,7,8
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage Elementary,High Poverty,All Schools,8.3,3,16.7,6,5.6,2
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage Elementary,High Poverty,Title I,8.3,3,16.7,6,5.6,2
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage High,High Poverty,All Schools,14,14,20,20,7,7
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage High,High Poverty,Non-Title I,14,14,20,20,7,7
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Elementary,High Poverty,All Schools,6.3,2,25,8,6.3,2
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Elementary,High Poverty,Title I,6.3,2,25,8,6.3,2
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Middle,High Poverty,All Schools,14.7,10,16.2,11,4.4,3
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Middle,High Poverty,Non-Title I,14.7,10,16.2,11,4.4,3
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Laurence Dunbar Middle for Innovation ,High Poverty,All Schools,13.8,9,26.2,17,7.7,5
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Laurence Dunbar Middle for Innovation ,High Poverty,Non-Title I,13.8,9,26.2,17,7.7,5
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Munro Elementary,High Poverty,All Schools,3.4,1,10.3,3,0,0
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Munro Elementary,High Poverty,Title I,3.4,1,10.3,3,0,0
2023 - 2024,SCH,Lynchburg City Public Schools,Perrymont Elementary,High Poverty,All Schools,14.7,5,29.4,10,8.8,3
2023 - 2024,SCH,Lynchburg City Public Schools,Perrymont Elementary,High Poverty,Title I,14.7,5,29.4,10,8.8,3
2023 - 2024,SCH,Lynchburg City Public Schools,Robert S. Payne Elementary,High Poverty,All Schools,28.2,11,33.3,13,25.6,10
2023 - 2024,SCH,Lynchburg City Public Schools,Robert S. Payne Elementary,High Poverty,Title I,28.2,11,33.3,13,25.6,10
2023 - 2024,SCH,Lynchburg City Public Schools,Sandusky Elementary,High Poverty,All Schools,3.6,1,7.1,2,3.6,1
2023 - 2024,SCH,Lynchburg City Public Schools,Sandusky Elementary,High Poverty,Title I,3.6,1,7.1,2,3.6,1
